id,garden_points_status,commitment_months,participation_history,project_focus_code,requested_resources_value,personal_reserve_status,volunteer_tenure_bracket,time_commitment_rate,household_profile,co_sponsor_presence,years_in_neighborhood_bracket,asset_contribution_type,member_age,other_support_plans,housing_situation,existing_commitments_count,role_skill_tier,dependents_supported,has_phone,newcomer_status,support_outcome
907,Points negative,21.0,Previous roles completed,Transport (new),3763.0,No reserve,4<=X<7,2.0,Single adult,Co-gardener sponsor,2.0,Community plot share,24.0,None,Own housing,1.0,Unskilled resident,1.0,No phone,Local resident,good
905,No points account,24.0,Previous roles completed,Communications equipment,1278.0,Reserve: <100,>=7,4.0,Single adult,No co-sponsor,1.0,Community plot share,36.0,None,Own housing,1.0,Highly skilled / lead,1.0,Has phone,Newcomer,good
152,No points account,10.0,Previous roles completed,Communications equipment,1924.0,Reserve: <100,1<=X<4,1.0,Single adult,No co-sponsor,4.0,Long-term fund,38.0,None,Own housing,1.0,Skilled volunteer,1.0,Has phone,Local resident,good
835,Points 200+,15.0,Previous roles completed,Communications equipment,2327.0,Reserve: <100,<1,2.0,Adult w/ dependents or shared household,No co-sponsor,3.0,Community plot share,25.0,None,Own housing,1.0,Unskilled resident,1.0,No phone,Newcomer,bad
778,Points negative,18.0,Previous roles completed,Communications equipment,3509.0,Reserve: <100,4<=X<7,4.0,Adult w/ dependents or shared household,Mentor sponsor,1.0,Community plot share,25.0,None,Own housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,good
360,Points negative,30.0,Previous roles completed,Workshop equipment,2406.0,Reserve: <100,4<=X<7,4.0,Adult w/ dependents or shared household,No co-sponsor,4.0,Community plot share,23.0,None,Rented housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,bad
577,Points 0–199,12.0,Previous roles completed,Communications equipment,2930.0,Reserve: <100,4<=X<7,2.0,Adult w/ dependents or shared household,No co-sponsor,1.0,Community plot share,27.0,None,Own housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,good
771,Points negative,24.0,Previous roles completed,Transport (used),2812.0,No reserve,>=7,2.0,Adult w/ dependents or shared household,No co-sponsor,4.0,Community plot share,26.0,None,Rented housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,good
390,No points account,9.0,Previous roles completed,Microenterprise support,1449.0,Reserve: <100,4<=X<7,3.0,Adult w/ dependents or shared household,No co-sponsor,2.0,Shared tools,27.0,None,Own housing,2.0,Skilled volunteer,1.0,No phone,Newcomer,good
943,No points account,24.0,Previous roles completed,Workshop equipment,929.0,No reserve,4<=X<7,4.0,Single adult,No co-sponsor,2.0,Shared tools,31.0,Partner stores,Own housing,1.0,Skilled volunteer,1.0,Has phone,Newcomer,good
51,Points 0–199,24.0,Delayed in prior commitments,Workshop equipment,2333.0,No reserve,<1,4.0,Single adult,No co-sponsor,2.0,Long-term fund,29.0,Partner bank,Own housing,1.0,Unskilled resident,1.0,No phone,Newcomer,good
414,No points account,10.0,Previous roles completed,Transport (new),1597.0,Reserve: 500–999,1<=X<4,3.0,Single adult,No co-sponsor,2.0,No tangible assets,40.0,None,Rented housing,1.0,Unskilled resident,2.0,No phone,Local resident,good
194,No points account,6.0,Previous roles completed,Communications equipment,2108.0,Reserve: <100,4<=X<7,2.0,Committed/shared household,No co-sponsor,2.0,Community plot share,29.0,None,Rented housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,good
351,No points account,9.0,Previous roles completed,Shared appliances,1236.0,Reserve: <100,<1,1.0,Adult w/ dependents or shared household,No co-sponsor,4.0,Community plot share,23.0,None,Rented housing,1.0,Skilled volunteer,1.0,Has phone,Newcomer,good
995,No points account,12.0,Previous roles completed,Transport (new),2390.0,No reserve,>=7,4.0,Single adult,No co-sponsor,3.0,Shared tools,50.0,None,Own housing,1.0,Skilled volunteer,1.0,Has phone,Newcomer,good
723,Points negative,12.0,Previous roles completed,Transport (new),1228.0,Reserve: <100,1<=X<4,4.0,Adult w/ dependents or shared household,No co-sponsor,2.0,Community plot share,24.0,None,Own housing,1.0,Unskilled resident,1.0,No phone,Newcomer,bad
875,Points negative,12.0,Previous roles completed,Workshop equipment,3590.0,Reserve: <100,1<=X<4,2.0,Single adult,Co-gardener sponsor,2.0,Long-term fund,29.0,None,Own housing,1.0,Unskilled resident,2.0,No phone,Newcomer,good
547,No points account,24.0,Issues on prior roles,Transport (new),2022.0,Reserve: <100,1<=X<4,4.0,Adult w/ dependents or shared household,No co-sponsor,4.0,Shared tools,37.0,None,Own housing,1.0,Skilled volunteer,1.0,Has phone,Newcomer,good
760,Points negative,12.0,Issues on prior roles,Transport (new),691.0,Reserve: <100,>=7,4.0,Single adult,No co-sponsor,3.0,Long-term fund,35.0,None,Own housing,2.0,Skilled volunteer,1.0,No phone,Newcomer,bad
234,Points 0–199,18.0,Previous roles completed,Communications equipment,866.0,Reserve: <100,1<=X<4,4.0,Committed/shared household,Mentor sponsor,2.0,Community plot share,25.0,None,Own housing,1.0,Unskilled resident,1.0,No phone,Newcomer,good
810,Points 0–199,15.0,No prior roles / all on time,Transport (new),1778.0,Reserve: <100,<1,2.0,Adult w/ dependents or shared household,No co-sponsor,1.0,Community plot share,26.0,None,Rented housing,2.0,Unemployed / non-resident unskilled,1.0,No phone,Newcomer,bad
307,No points account,30.0,Previous roles completed,Transport (used),4811.0,No reserve,4<=X<7,2.0,Adult w/ dependents or shared household,No co-sponsor,4.0,Long-term fund,24.0,Partner stores,Rented housing,1.0,Unskilled resident,1.0,No phone,Newcomer,good
491,No points account,12.0,Issues on prior roles,Communications equipment,1934.0,Reserve: <100,>=7,2.0,Single adult,No co-sponsor,2.0,No tangible assets,26.0,None,Own housing,2.0,Skilled volunteer,1.0,No phone,Newcomer,good
289,Points 0–199,12.0,Previous roles completed,Communications equipment,1092.0,Reserve: <100,1<=X<4,4.0,Adult w/ dependents or shared household,Mentor sponsor,4.0,Community plot share,49.0,None,Own housing,2.0,Skilled volunteer,1.0,Has phone,Newcomer,good
728,Points negative,18.0,Previous roles completed,Communications equipment,1882.0,Reserve: <100,1<=X<4,4.0,Adult w/ dependents or shared household,No co-sponsor,4.0,Shared tools,25.0,Partner bank,Rented housing,2.0,Skilled volunteer,1.0,No phone,Newcomer,bad
199,Points 0–199,24.0,Previous roles completed,Transport (used),2760.0,No reserve,>=7,4.0,Single adult,No co-sponsor,4.0,No tangible assets,36.0,Partner bank,Hosted / no rent,1.0,Skilled volunteer,1.0,Has phone,Newcomer,good
584,Points 0–199,36.0,Previous roles completed,Plot repairs,2384.0,Reserve: <100,<1,4.0,Single adult,No co-sponsor,1.0,No tangible assets,33.0,None,Rented housing,1.0,Unskilled resident,1.0,No phone,Newcomer,bad
753,Points 0–199,12.0,Previous roles completed,Microenterprise support,841.0,Reserve: 100–499,4<=X<7,2.0,Adult w/ dependents or shared household,No co-sponsor,4.0,Community plot share,23.0,None,Rented housing,1.0,Unskilled resident,1.0,No phone,Newcomer,good
302,Points 0–199,36.0,No prior roles / all on time,Communications equipment,3804.0,Reserve: <100,1<=X<4,4.0,Adult w/ dependents or shared household,No co-sponsor,1.0,Shared tools,42.0,None,Own housing,1.0,Skilled volunteer,1.0,Has phone,Newcomer,bad
592,Points 0–199,24.0,Delayed in prior commitments,Transport (new),1965.0,No reserve,1<=X<4,4.0,Adult w/ dependents or shared household,No co-sponsor,4.0,Shared tools,42.0,None,Rented housing,2.0,Skilled volunteer,1.0,Has phone,Newcomer,good
126,Points negative,12.0,Issues on prior roles,Transport (new),2121.0,Reserve: <100,1<=X<4,4.0,Single adult,No co-sponsor,2.0,Long-term fund,30.0,None,Own housing,2.0,Skilled volunteer,1.0,No phone,Newcomer,good
490,No points account,6.0,Previous roles completed,Transport (new),3518.0,Reserve: <100,1<=X<4,2.0,Single adult,Mentor sponsor,3.0,Long-term fund,26.0,None,Rented housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,good
607,No points account,24.0,Issues on prior roles,Microenterprise support,4526.0,Reserve: <100,1<=X<4,3.0,Single adult,No co-sponsor,2.0,Community plot share,74.0,None,Own housing,1.0,Highly skilled / lead,1.0,Has phone,Newcomer,good
624,Points negative,12.0,Previous roles completed,Workshop equipment,1858.0,Reserve: <100,<1,4.0,Adult w/ dependents or shared household,No co-sponsor,1.0,Shared tools,22.0,None,Rented housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,good
73,Points negative,8.0,Issues on prior roles,Other project,1164.0,Reserve: <100,>=7,3.0,Single adult,No co-sponsor,4.0,No tangible assets,51.0,Partner bank,Hosted / no rent,2.0,Highly skilled / lead,2.0,Has phone,Newcomer,good
755,No points account,12.0,Delayed in prior commitments,Plot repairs,1555.0,Reserve: ≥1000,>=7,4.0,Single adult,No co-sponsor,4.0,No tangible assets,55.0,None,Hosted / no rent,2.0,Skilled volunteer,2.0,No phone,Newcomer,bad
513,Points 200+,15.0,Previous roles completed,Microenterprise support,2687.0,Reserve: <100,4<=X<7,2.0,Single adult,No co-sponsor,4.0,Long-term fund,26.0,None,Rented housing,1.0,Skilled volunteer,1.0,Has phone,Newcomer,good
218,Points 200+,36.0,Previous roles completed,Communications equipment,3913.0,Reserve: <100,1<=X<4,2.0,Single adult,No co-sponsor,2.0,Community plot share,23.0,None,Own housing,1.0,Skilled volunteer,1.0,Has phone,Newcomer,good
106,Points 0–199,24.0,Issues on prior roles,Other project,11938.0,Reserve: <100,1<=X<4,2.0,Single adult,Co-gardener sponsor,3.0,Shared tools,39.0,None,Own housing,2.0,Highly skilled / lead,2.0,Has phone,Newcomer,bad
657,Points 0–199,12.0,Previous roles completed,Transport (new),888.0,Reserve: <100,>=7,4.0,Single adult,No co-sponsor,4.0,Shared tools,41.0,Partner bank,Own housing,1.0,Unskilled resident,2.0,No phone,Newcomer,bad
400,No points account,24.0,Issues on prior roles,Communications equipment,1516.0,Reserve: ≥1000,1<=X<4,4.0,Adult w/ dependents or shared household,No co-sponsor,1.0,Community plot share,43.0,None,Own housing,2.0,Unskilled resident,1.0,No phone,Newcomer,good
209,Points negative,24.0,Previous roles completed,Microenterprise support,6568.0,Reserve: <100,1<=X<4,2.0,Committed/shared household,No co-sponsor,2.0,Shared tools,21.0,Partner stores,Own housing,1.0,Unskilled resident,1.0,No phone,Newcomer,good
981,Points 0–199,30.0,Issues on prior roles,Workshop equipment,8386.0,Reserve: <100,4<=X<7,2.0,Single adult,No co-sponsor,2.0,Long-term fund,49.0,None,Own housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,bad
748,Points negative,12.0,Previous roles completed,Transport (new),1274.0,Reserve: <100,<1,3.0,Adult w/ dependents or shared household,No co-sponsor,1.0,Community plot share,37.0,None,Own housing,1.0,Unskilled resident,1.0,No phone,Newcomer,bad
100,Points 0–199,20.0,Delayed in prior commitments,Transport (used),7057.0,No reserve,4<=X<7,3.0,Single adult,No co-sponsor,4.0,Long-term fund,36.0,Partner bank,Rented housing,2.0,Highly skilled / lead,2.0,Has phone,Newcomer,good
949,No points account,18.0,Previous roles completed,Workshop equipment,1533.0,Reserve: <100,<1,4.0,Committed/shared household,Co-gardener sponsor,1.0,Long-term fund,43.0,None,Own housing,1.0,Unskilled resident,2.0,No phone,Newcomer,bad
786,Points 0–199,18.0,Previous roles completed,Microenterprise support,1941.0,Reserve: ≥1000,1<=X<4,4.0,Single adult,No co-sponsor,2.0,Long-term fund,35.0,None,Own housing,1.0,Unskilled resident,1.0,Has phone,Newcomer,good
433,Points negative,6.0,Issues on prior roles,Workshop equipment,1872.0,Reserve: <100,unemployed,4.0,Single adult,No co-sponsor,4.0,No tangible assets,36.0,None,Hosted / no rent,3.0,Highly skilled / lead,1.0,Has phone,Newcomer,good
636,No points account,12.0,Previous roles completed,Training / education,1393.0,Reserve: <100,>=7,4.0,Single adult,No co-sponsor,4.0,Long-term fund,47.0,Partner bank,Own housing,3.0,Skilled volunteer,2.0,Has phone,Newcomer,good
598,Points 0–199,24.0,No prior roles / all on time,Microenterprise support,4241.0,Reserve: <100,1<=X<4,1.0,Single adult,No co-sponsor,4.0,Community plot share,36.0,None,Own housing,3.0,Unskilled resident,1.0,Has phone,Newcomer,bad
737,Points 0–199,24.0,Previous roles completed,Transport (used),11560.0,Reserve: <100,1<=X<4,1.0,Adult w/ dependents or shared household,No co-sponsor,4.0,Shared tools,23.0,None,Rented housing,2.0,Highly skilled / lead,1.0,No phone,Newcomer,bad
640,Points negative,42.0,Delayed in prior commitments,Communications equipment,4370.0,Reserve: <100,4<=X<7,3.0,Single adult,No co-sponsor,2.0,Long-term fund,26.0,Partner bank,Own housing,2.0,Skilled volunteer,2.0,Has phone,Newcomer,bad
987,Points 200+,42.0,No prior roles / all on time,Microenterprise support,6289.0,Reserve: <100,<1,2.0,Recently separated household,No co-sponsor,1.0,Long-term fund,33.0,None,Own housing,2.0,Skilled volunteer,1.0,No phone,Newcomer,good
608,Points 0–199,36.0,Previous roles completed,Communications equipment,2671.0,Reserve: 100–499,1<=X<4,4.0,Adult w/ dependents or shared household,Co-gardener sponsor,4.0,No tangible assets,50.0,None,Hosted / no rent,1.0,Skilled volunteer,1.0,No phone,Newcomer,bad
448,Points 0–199,7.0,Previous roles completed,Communications equipment,2576.0,Reserve: <100,1<=X<4,2.0,Single adult,Mentor sponsor,2.0,Community plot share,35.0,None,Own housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,good
63,Points 0–199,36.0,No prior roles / all on time,Microenterprise support,1953.0,Reserve: <100,>=7,4.0,Single adult,No co-sponsor,4.0,No tangible assets,61.0,None,Hosted / no rent,1.0,Highly skilled / lead,1.0,Has phone,Newcomer,bad
604,No points account,36.0,Previous roles completed,Workshop equipment,3349.0,Reserve: <100,1<=X<4,4.0,Adult w/ dependents or shared household,No co-sponsor,2.0,Shared tools,28.0,None,Own housing,1.0,Highly skilled / lead,1.0,Has phone,Newcomer,bad
986,Points negative,15.0,Issues on prior roles,Workshop equipment,1433.0,Reserve: <100,1<=X<4,4.0,Adult w/ dependents or shared household,No co-sponsor,3.0,Long-term fund,25.0,None,Rented housing,2.0,Skilled volunteer,1.0,No phone,Newcomer,good
656,Points negative,14.0,Previous roles completed,Transport (new),3973.0,Reserve: <100,unemployed,1.0,Single adult,No co-sponsor,4.0,No tangible assets,22.0,None,Hosted / no rent,1.0,Skilled volunteer,1.0,No phone,Newcomer,good
240,Points negative,30.0,Previous roles completed,Communications equipment,2522.0,Reserve: <100,>=7,1.0,Single adult,Mentor sponsor,3.0,Long-term fund,39.0,None,Own housing,1.0,Skilled volunteer,2.0,No phone,Newcomer,good
514,Points 0–199,12.0,Delayed in prior commitments,Communications equipment,585.0,Reserve: <100,1<=X<4,4.0,Committed/shared household,Co-gardener sponsor,4.0,Community plot share,20.0,None,Rented housing,2.0,Skilled volunteer,1.0,No phone,Newcomer,good
929,No points account,30.0,Previous roles completed,Communications equipment,1867.0,No reserve,>=7,4.0,Single adult,No co-sponsor,4.0,Shared tools,58.0,None,Own housing,1.0,Skilled volunteer,1.0,Has phone,Newcomer,good
853,No points account,15.0,Issues on prior roles,Communications equipment,1471.0,Reserve: <100,1<=X<4,4.0,Single adult,No co-sponsor,4.0,No tangible assets,35.0,None,Hosted / no rent,2.0,Skilled volunteer,1.0,Has phone,Newcomer,good
647,Points negative,30.0,No prior roles / all on time,Workshop equipment,4583.0,Reserve: <100,1<=X<4,2.0,Recently separated household,Mentor sponsor,2.0,Community plot share,32.0,None,Own housing,2.0,Skilled volunteer,1.0,No phone,Newcomer,good
863,Points negative,24.0,Previous roles completed,Communications equipment,2439.0,Reserve: <100,<1,4.0,Adult w/ dependents or shared household,No co-sponsor,4.0,Community plot share,35.0,None,Own housing,1.0,Skilled volunteer,1.0,Has phone,Newcomer,bad
1000,Points 0–199,45.0,Issues on prior roles,Transport (used),4576.0,Reserve: 100–499,unemployed,3.0,Single adult,No co-sponsor,4.0,Shared tools,27.0,None,Own housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,good
245,No points account,12.0,All roles on time,Retraining,3447.0,Reserve: 500–999,1<=X<4,4.0,Adult w/ dependents or shared household,No co-sponsor,3.0,Community plot share,35.0,None,Own housing,1.0,Unskilled resident,2.0,No phone,Newcomer,good
1,Points negative,6.0,Issues on prior roles,Communications equipment,1169.0,No reserve,>=7,4.0,Single adult,No co-sponsor,4.0,Community plot share,67.0,None,Own housing,2.0,Skilled volunteer,1.0,Has phone,Newcomer,good
80,Points 0–199,30.0,Previous roles completed,Workshop equipment,3832.0,Reserve: <100,<1,2.0,Committed/shared household,No co-sponsor,1.0,Long-term fund,22.0,None,Own housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,good
505,Points negative,24.0,Previous roles completed,Transport (new),1207.0,Reserve: <100,<1,4.0,Adult w/ dependents or shared household,No co-sponsor,4.0,Long-term fund,24.0,None,Rented housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,bad
52,Points 0–199,27.0,Delayed in prior commitments,Transport (used),5965.0,Reserve: <100,>=7,1.0,Single adult,No co-sponsor,2.0,Shared tools,30.0,None,Own housing,2.0,Highly skilled / lead,1.0,Has phone,Newcomer,good
214,Points 200+,30.0,Delayed in prior commitments,Microenterprise support,1908.0,Reserve: <100,>=7,4.0,Single adult,No co-sponsor,4.0,Community plot share,66.0,None,Own housing,1.0,Highly skilled / lead,1.0,Has phone,Newcomer,bad
894,Points 0–199,36.0,Issues on prior roles,Transport (used),5800.0,Reserve: <100,1<=X<4,3.0,Single adult,No co-sponsor,4.0,Shared tools,34.0,None,Own housing,2.0,Skilled volunteer,1.0,Has phone,Newcomer,good
306,No points account,6.0,Previous roles completed,Workshop equipment,1543.0,Reserve: ≥1000,1<=X<4,4.0,Recently separated household,No co-sponsor,2.0,Community plot share,33.0,None,Own housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,good
973,Points negative,24.0,All roles on time,Transport (new),1193.0,Reserve: <100,unemployed,1.0,Adult w/ dependents or shared household,Co-gardener sponsor,4.0,No tangible assets,29.0,None,Rented housing,2.0,Unemployed / non-resident unskilled,1.0,No phone,Newcomer,bad
600,No points account,24.0,Delayed in prior commitments,Microenterprise support,3863.0,Reserve: <100,1<=X<4,1.0,Single adult,No co-sponsor,2.0,No tangible assets,32.0,None,Hosted / no rent,1.0,Skilled volunteer,1.0,No phone,Newcomer,good
838,No points account,4.0,Previous roles completed,Workshop equipment,601.0,Reserve: <100,<1,1.0,Adult w/ dependents or shared household,No co-sponsor,3.0,Community plot share,23.0,None,Rented housing,1.0,Unskilled resident,2.0,No phone,Newcomer,good
611,Points negative,12.0,Previous roles completed,Shared appliances,741.0,Reserve: 100–499,unemployed,4.0,Adult w/ dependents or shared household,No co-sponsor,3.0,Long-term fund,22.0,None,Own housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,bad
695,No points account,24.0,Previous roles completed,Communications equipment,2284.0,Reserve: <100,4<=X<7,4.0,Single adult,No co-sponsor,2.0,Shared tools,28.0,None,Own housing,1.0,Skilled volunteer,1.0,Has phone,Newcomer,good
751,Points negative,6.0,Previous roles completed,Workshop equipment,428.0,Reserve: <100,>=7,2.0,Adult w/ dependents or shared household,No co-sponsor,1.0,Long-term fund,49.0,Partner bank,Own housing,1.0,Skilled volunteer,1.0,Has phone,Newcomer,good
851,Points negative,20.0,Issues on prior roles,Transport (new),2235.0,Reserve: <100,1<=X<4,4.0,Committed/shared household,Mentor sponsor,2.0,Long-term fund,33.0,Partner bank,Rented housing,2.0,Skilled volunteer,1.0,No phone,Local resident,bad
970,Points negative,11.0,Issues on prior roles,Transport (new),3939.0,Reserve: <100,1<=X<4,1.0,Single adult,No co-sponsor,2.0,Community plot share,40.0,None,Own housing,2.0,Unskilled resident,2.0,No phone,Newcomer,good
34,No points account,12.0,Issues on prior roles,Microenterprise support,1264.0,No reserve,>=7,4.0,Single adult,No co-sponsor,4.0,No tangible assets,57.0,None,Rented housing,1.0,Unskilled resident,1.0,No phone,Newcomer,good
504,Points 0–199,24.0,Issues on prior roles,Communications equipment,1216.0,Reserve: 100–499,<1,4.0,Single adult,No co-sponsor,4.0,No tangible assets,38.0,Partner bank,Own housing,2.0,Skilled volunteer,2.0,No phone,Newcomer,bad
475,Points 0–199,18.0,Issues on prior roles,Communications equipment,1245.0,Reserve: <100,1<=X<4,4.0,Committed/shared household,No co-sponsor,2.0,Shared tools,33.0,None,Own housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,bad
468,No points account,48.0,Delayed in prior commitments,Communications equipment,7238.0,No reserve,>=7,3.0,Single adult,No co-sponsor,3.0,Shared tools,32.0,Partner bank,Own housing,2.0,Skilled volunteer,2.0,No phone,Newcomer,good
463,Points 0–199,12.0,Previous roles completed,Workshop equipment,3017.0,Reserve: <100,<1,3.0,Adult w/ dependents or shared household,No co-sponsor,1.0,Community plot share,34.0,None,Rented housing,1.0,Highly skilled / lead,1.0,No phone,Newcomer,good
425,Points 0–199,12.0,Previous roles completed,Workshop equipment,2762.0,No reserve,>=7,1.0,Adult w/ dependents or shared household,No co-sponsor,2.0,Long-term fund,25.0,Partner bank,Own housing,1.0,Skilled volunteer,1.0,Has phone,Newcomer,bad
268,No points account,24.0,Previous roles completed,Communications equipment,1533.0,Reserve: <100,<1,4.0,Adult w/ dependents or shared household,No co-sponsor,3.0,Shared tools,38.0,Partner stores,Own housing,1.0,Skilled volunteer,1.0,Has phone,Newcomer,good
685,Points 0–199,36.0,Delayed in prior commitments,Microenterprise support,9857.0,Reserve: 100–499,4<=X<7,1.0,Single adult,No co-sponsor,3.0,Long-term fund,31.0,None,Own housing,2.0,Unskilled resident,2.0,Has phone,Newcomer,good
865,No points account,10.0,Previous roles completed,Workshop equipment,2210.0,Reserve: <100,1<=X<4,2.0,Single adult,No co-sponsor,2.0,Community plot share,25.0,Partner bank,Rented housing,1.0,Unskilled resident,1.0,No phone,Newcomer,bad
